"Khanty";"Finnish";"Hungarian";"NorthernSami";"InariSami";"Voro";"Komi";"Mansi";"Livonian";"MeadowMari";"Moksha";"Erzya";"Estonian"
"ĭt
";"yksi
";"egy
";"okta
";"ohtâ
";"ütś
";"ətik
";"äkwa
";"ikš
";"ikte
";"fkä
";"vejke
";"üks
"
"kät
";"kaksi
";"kettő
";"guokte
";"kyeh´ti
";"katś
";"kɨk
";"kityg
";"kakš
";"kokət
";"kaftə
";"kavto
";"kaks
"
"koləm
";"kolme
";"három
";"golbma
";"kulmâ
";"kolm
";"kuim
";"hurum
";"kuolm
";"kumət
";"kolmə
";"kolmo
";"kolm
"
"ńelä
";"neljä
";"négy
";"njeallje
";"nelji
";"nelli
";"nəľ
";"nila
";"nēļa
";"nələt
";"nilä
";"ńiľe
";"neli
"
"wet
";"viisi
";"öt
";"vihtta
";"vittâ
";"viiś
";"vit
";"ät
";"vīž
";"wizət
";"vetä
";"veƭe
";"viis
"
"kut
";"kuusi
";"hat
";"guhtta
";"kuttâ
";"kuuś
";"kvajt
";"hot
";"kūž
";"kuðət
";"kotə
";"koto
";"kuus
"
"tapət
";"seitsemän
";"hét
";"čieža
";"čiččâm
";"säidse
";"sizim
";"sat
";"seis
";"šəmət
";"sisäm
";"śiśem
";"seitse
"
"nəvət
";"kahdeksan
";"nyolc
";"gávcci
";"käävci
";"katõsa
";"kəkjamɨs
";"ńololow
";"kōdõks
";"kandaš
";"kafksə
";"kavkso
";"kaheksa
"
"yaryaŋ
";"yhdeksän
";"kilenc
";"ovcci
";"oovce
";"ütesä
";"əkmɨs
";"ontolow
";"īdõks
";"indeš
";"veçksə
";"vejkse
";"üheksa
"
"loŋət";"kymmenen";"tíz";"logi
";"love
";"kümme";"das";"low";"kim";"lu";"keməń";"kemeń";"kümme"
